Name,Section,URL,Current Price,Old Price,Price Difference,Percent Difference
"TaoTronics Tower Fan, 36"" Bladeless Fan with Remote, 65° Oscillating Cooling Fan for Home, LED Display 12H Timer Floor Fan for Living Room, Office",Home Improvement,https://www.walmart.com/ip/TaoTronics-Tower-Fan-36-Bladeless-Fan-with-Remote-65-Oscillating-Cooling-Fan-for-Home-LED-Display-12H-Timer-Floor-Fan-for-Living-Room-Office/324902546?athbdg=L1600,$54.99,$119.99,$65.00,54.17%
"AVAPOW 6000A Car Battery Jump Starter,2023 Upgraded Powerful Car Jump Starter with Dual USB Quick Charge and DC Output,12V Jump Pack with Built-in LED Bright Light Yellow",Home Improvement,https://www.walmart.com/ip/AVAPOW-6000A-Car-Battery-Jump-Starter-2023-Upgraded-Powerful-Starter-Dual-USB-Quick-Charge-DC-Output-12V-Pack-Built-in-LED-Bright-Light-Yellow/3577744491?athbdg=L1600,$86.99,$229.99,$143.00,62.18%
Goal Zero Yeti 200X Portable Power Station 187Wh Lithium Battery Generator 120 Watt AC Inverter,Home Improvement,https://www.walmart.com/ip/Goal-Zero-Yeti-200X-Portable-Power-Station-187Wh-Lithium-Battery-Generator-120-Watt-AC-Inverter/686856752?athbdg=L1700,$219.95,$299.95,$80.00,26.67%
"Dreo Tower Fans for Home, 2023 NEW 36"" Standing Floor Fan with Remote, 90° Oscillating Fan, 24 ft/s High Velocity, LED Display, 4 Speeds, 4 Modes, 8H Timer, Quiet Bedroom Fan",Home Improvement,https://www.walmart.com/ip/Dreo-Tower-Fans-Home-2023-NEW-36-Standing-Floor-Fan-Remote-90-Oscillating-Fan-24-ft-s-High-Velocity-LED-Display-4-Speeds-Modes-8H-Timer-Quiet-Bedroom/2540587657?athbdg=L1600,$59.99,$99.99,$40.00,40.00%
"DuraComfort 8,000 BTU ASHRAE Portable Air Conditioner, 3-in-1 AC Unit, Cool, Dehumidifier & Fan, for Room up to 200 Sq.Ft 4900 BTU SACC",Home Improvement,https://www.walmart.com/ip/DuraComfort-8-000-BTU-ASHRAE-Portable-Air-Conditioner-3-in-1-AC-Unit-Cool-Dehumidifier-Fan-for-Room-up-to-200-Sq-Ft-4900-BTU-SACC/2036921999?athbdg=L1600,$199.99,$299.00,$99.01,33.11%
"DuraComfort Portable Air Conditioners, 12000 BTU(Ashrae) Quiet AC Unit, Built-in Dehumidifier and Fan Modes, White",Home Improvement,https://www.walmart.com/ip/DuraComfort-Portable-Air-Conditioners-12000-BTU-Ashrae-Quiet-AC-Unit-Built-in-Dehumidifier-and-Fan-Modes-White/478550286?athbdg=L1600,$299.99,$429.99,$130.00,30.23%
"Veken 5-Setting High Pressure Shower Head, 12 inch Rain Shower Head with Handheld and Hose, Chrome",Home Improvement,https://www.walmart.com/ip/Veken-5-Setting-High-Pressure-Shower-Head-12-inch-Rain-Shower-Head-with-Handheld-and-Hose-Chrome/1312090503?athbdg=L1600,$44.99,$89.99,$45.00,50.01%
"ALROCKET Air Purifier, with H13 True HEPA Filter, Remove 99.9% Smoke Dust Allergies for 300 SQ.ft",Home Improvement,https://www.walmart.com/ip/ALROCKET-Air-Purifier-with-H13-True-HEPA-Filter-Remove-99-9-Smoke-Dust-Allergies-for-300-SQ-ft/1786030919?athbdg=L1600,$32.99,$49.99,$17.00,34.01%
"AGLUCKY 5000BTU(8000 BTU ASHRAE)Portable Air Conditioner, 250 sq.ft 3 in 1 AC with 24-Hour Timer, Suitable for Families",Home Improvement,https://www.walmart.com/ip/AGLUCKY-5000BTU-8000-BTU-ASHRAE-Portable-Air-Conditioner-250-sq-ft-3-in-1-AC-with-24-Hour-Timer-Suitable-for-Families/413482391?athbdg=L1600,$204.99,$299.99,$95.00,31.67%
SZRSTH Solar Lights Outdoor - Waterproof Motion Sensor Security Lights with Wireless Remote Control - 2500LM 3Heads 210LED Flood Lights for Patio Garage Yard Entryways,Home Improvement,https://www.walmart.com/ip/SZRSTH-Solar-Lights-Outdoor-Waterproof-Motion-Sensor-Security-Wireless-Remote-Control-2500LM-3Heads-210LED-Flood-Patio-Garage-Yard-Entryways/641276075,$29.99,$69.99,$40.00,57.15%
